country_name,population(2021),"gdp(USD, 2021)",education_index(2018),literacy_rate(2021)
Algeria,"44,180,000","163,000,000,000",0.664,80.2
Argentina,"45,810,000","487,200,000,000",0.816,98
Australia,"25,690,000","1,553,000,000,000",0.929,99
Austria,"8,956,000","480,400,000,000",0.852,99
Azerbaijan,"10,140,000","54,620,000,000",0.709,99.8
Bangladesh,"169,400,000","416,300,000,000",0.508,74.4
Belarus,"9,340,000","68,210,000,000",0.838,99.8
Belgium,"11,590,000","594,100,000,000",0.893,99
Bolivia,"12,080,000","40,410,000,000",0.687,96.7
Brazil,"214,300,000","1,609,000,000,000",0.686,93.2
Bulgaria,"6,878,000","84,060,000,000",0.805,98.4
Canada,"38,250,000","1,988,000,000,000",0.899,99
Chile,"19,490,000","317,100,000,000",0.8,98.6
China ,"1,412,000,000","17,730,000,000,000",0.644,96.8
Colombia,"51,520,000","314,500,000,000",0.676,94.7
Czech Republic,"10,510,000","281,800,000,000",0.893,99
Denmark,"5,857,000","398,300,000,000",0.92,99
Ecuador,"17,800,000","106,200,000,000",0.697,93.8
Egypt,"109,300,000","404,100,000,000",0.604,74.9
ESA,,,,
Estonia,"1,331,000","37,190,000,000",0.869,99.8
Ethiopia,"120,300,000","111,300,000,000",0.327,48.5
Finland,"5,541,000","297,300,000,000",0.905,100
France,"67,750,000","2,958,000,000,000",0.84,99
Germany,"83,200,000","4,260,000,000,000",0.94,99
Greece,"10,640,000","214,900,000,000",0.838,97.7
Hungary,"9,710,000","181,800,000,000",0.815,99.1
India,"1,408,000,000","3,176,000,000,000",0.556,77.7
Indonesia,"273,800,000","1,186,000,000,000",0.622,96.4
Iran,"87,920,000","359,700,000,000",0.741,86.8
Iraq,"43,530,000","207,900,000,000",0.534,82.5
Israel,"9,364,000","488,500,000,000",0.874,97.1
Italy,"59,110,000","2,108,000,000,000",0.791,99
Japan,"125,700,000","4,941,000,000,000",0.848,99
Jordan,"11,150,000","45,740,000,000",0.711,95.3
Kazakhstan,"19,000,000","197,100,000,000",0.814,99.8
Kuwait,"4,250,000","186,000,000,000",0.62,96.3
Laos,"7,425,000","18,830,000,000",0.484,73.2
Lithuania,"2,801,000","66,450,000,000",0.874,99.8
Luxembourg,"640,064","85,510,000,000",0.791,100
Malaysia,"33,570,000","373,000,000,000",0.719,96.6
Mexico,"126,700,000","1,273,000,000,000",0.678,94.5
Monaco,"36,686","8,596,000,000",,
Morocco ,"37,080,000","142,900,000,000",0.529,73.8
Multinational,,,,
Nepal,"30,030,000","36,290,000,000",0.502,68.6
Netherlands,"17,530,000","1,013,000,000,000",0.906,99
New Zeland,"5,123,000","249,900,000,000",0.917,99
Nigeria,"213,400,000","440,800,000,000",0.483,64.2
Norway,"5,408,000","482,200,000,000",0.915,100
Pakistan,"231,400,000","348,300,000,000",0.411,59.4
Paraguay,"6,704,000","39,500,000,000",0.631,94.4
Peru,"33,720,000","223,200,000,000",0.689,94.5
Poland,"37,750,000","679,400,000,000",0.866,99.7
Qatar,"2,688,000","179,700,000,000",0.698,96.3
Russia,"143,400,000","1,779,000,000,000",0.832,99.7
Saudi Arabia,"35,950,000","833,500,000,000",0.787,94.7
Singapore,"5,454,000","397,000,000,000",0.832,97.7
Slovenia,"2,108,000","61,750,000,000",0.886,99.7
South Africa,"59,390,000","419,000,000,000",0.708,87.2
South Korea,"51,740,000","1,811,000,000,000",0.862,97.9
Spain,"47,420,000","1,427,000,000,000",0.824,98.1
Sri Lanka,"22,160,000","88,930,000,000",0.749,93.4
Sudan,"45,660,000","34,330,000,000",0.328,60.9
Sweden,"10,420,000","635,700,000,000",0.904,100
Switzerland,"8,703,000","800,600,000,000",0.897,99
Taiwan,"23,570,000","774,700,000,000",,98.7
Thailand,"71,600,000","505,900,000,000",0.661,96.7
Tunisia,"12,260,000","46,690,000,000",0.659,81.8
Turkey,"84,780,000","819,000,000,000",0.689,96.3
Turkmenistan,"6,342,000","109,000,000,000",0.626,99.6
Ukraine,"43,790,000","200,100,000,000",0.794,99.8
United Arab Emirates,"9,365,000","415,000,000,000",0.738,93.8
United Kingdom,"67,330,000","3,131,000,000,000",0.914,99
USA,"331,900,000","23,320,000,000,000",0.903,99
Venezuela,"28,200,000","59,510,000,000",0.741,96.9
Vietnam,"97,470,000","366,100,000,000",0.626,96.4
French Guiana,"294,071",,,88.9
Marshall Islands,"42,050","259,500,000",,98.27
EADS CASA Espacio,,,,
Space,,,,
Thales Alenia Space,,,,
,,,,
