launch_date,launch_vehical,launch_site_name,organization_name,satellite_id
12/11/19,PSLV,Satish Dhawan Space Centre,Hera Systems,1
6/23/17,PSLV,Satish Dhawan Space Centre,Aalto University,2
4/25/16,Soyuz-2.1a,Guiana Space Center,University of Aalborg,3
2/6/14,Ariane 5 ECA,Guiana Space Center,Loral,4
2/6/14,Ariane 5 ECA,Guiana Space Center,Space Systems,4
6/15/16,Falcon 9,Cape Canaveral,Boeing Satellite Systems,5
3/2/15,Falcon 9,Cape Canaveral,Boeing Satellite Systems,6
3/13/04,Atlas 3,Cape Canaveral,Loral,7
3/13/04,Atlas 3,Cape Canaveral,Space Systems,7
9/26/99,Proton,Baikonur Cosmodrome,Lockheed Martin,8
3/22/21,Soyuz-2.1a,Baikonur Cosmodrome,Asher Space Research Institute at Technion,9
3/22/21,Soyuz-2.1a,Baikonur Cosmodrome,Israeli Aircraft Industries,9
3/22/21,Soyuz-2.1a,Baikonur Cosmodrome,Asher Space Research Institute at Technion,10
3/22/21,Soyuz-2.1a,Baikonur Cosmodrome,Israeli Aircraft Industries,10
3/22/21,Soyuz-2.1a,Baikonur Cosmodrome,Asher Space Research Institute at Technion,11
3/22/21,Soyuz-2.1a,Baikonur Cosmodrome,Israeli Aircraft Industries,11
12/11/20,Delta 4 Heavy,Cape Canaveral,National Reconnaissance Laboratory (?),12
5/9/98,Titan IVA,Cape Canaveral,TRW Space and Electronics,13
9/9/03,Titan IV,Cape Canaveral,TRW Space and Electronics,14
1/18/09,Delta 4 Heavy,Cape Canaveral,National Reconnaissance Laboratory (?),15
11/21/10,Delta 4 Heavy,Cape Canaveral,National Reconnaissance Laboratory (?),16
6/29/12,Delta 4 Heavy,Cape Canaveral,National Reconnaissance Laboratory (?),17
6/11/16,Delta 4 Heavy,Cape Canaveral,National Reconnaissance Laboratory (?),18
5/3/12,Atlas 5,Cape Canaveral,Lockheed Martin Space Systems,19
9/18/13,Atlas 5,Cape Canaveral,Lockheed Martin Space Systems,20
10/17/18,Atlas 5,Cape Canaveral,Lockheed Martin Space Systems,21
8/8/19,Atlas 5,Cape Canaveral,Lockheed Martin Space Systems,22
3/26/20,Atlas 5,Cape Canaveral,Lockheed Martin Space Systems,23
9/13/12,Atlas 5,Vandenberg AFB,University of Southern California,24
8/22/18,Vega,Guiana Space Center,Airbus Defense and Space,25
8/9/19,Nanorack Deployer,Cygnus,Aerospace Corporation,26
8/9/19,Nanorack Deployer,Cygnus,Aerospace Corporation,27
12/17/18,Electron,Rocket Lab Launch Complex 1,Aerospace Corporation,28
12/17/18,Electron,Rocket Lab Launch Complex 1,Aerospace Corporation,29
7/16/18,Nanorack Deployer,Cygnus,Aerospace Corporation,30
7/16/18,Nanorack Deployer,Cygnus,Aerospace Corporation,31
1/31/20,Nanorack Deployer,Cygnus,Aerospace Corporation,32
1/31/20,Nanorack Deployer,Cygnus,Aerospace Corporation,33
1/31/20,Nanorack Deployer,Cygnus,Aerospace Corporation,34
10/8/15,Atlas 5,Vandenberg AFB,Aerospace Corporation,35
6/19/14,Dnepr,Dombarovsky Air Base,Aerospace Corporation,36
6/19/14,Dnepr,Dombarovsky Air Base,Aerospace Corporation,37
10/8/15,Atlas 5,Vandenberg AFB,Aerospace Corporation,38
11/12/17,Antares 230,Wallops Island Flight Facility,Aerospace Corporation,39
11/12/17,Antares 230,Wallops Island Flight Facility,Aerospace Corporation,40
11/11/16,Atlas 5,Vandenberg AFB,Aerospace Corporation,41
11/11/16,Atlas 5,Vandenberg AFB,Aerospace Corporation,42
12/20/08,Ariane 5,Guiana Space Center,EADS Astrium,43
4/29/21,Vega W18,Guiana Space Center,NanoAvionics,44
1/24/21,Falcon 9,Cape Canaveral,NanoAvionics,45
4/25/07,Pegasus XL,Vandenberg AFB,Orbital Sciences Corp.,46
7/12/10,PSLV,Satish Dhawan Space Centre,Kongsberg Seatex AS,47
7/12/10,PSLV,Satish Dhawan Space Centre,University of Toronto Institute for Aerospace Studies,47
7/8/14,Soyuz-2.1b,Baikonur Cosmodrome,Kongsberg Seatex AS,48
7/8/14,Soyuz-2.1b,Baikonur Cosmodrome,University of Toronto Institute for Aerospace Studies,48
12/3/18,Falcon 9,Vandenberg AFB,GomSpace ApS,49
4/1/19,PSLV,Satish Dhawan Space Centre,GomSpace ApS,50
1/25/18,Ariane 5,Guiana Space Center,Orbital ATK,51
12/10/17,Long March 3B,Xichang Satellite Launch Center,China Academy of Space Technology (CAST),52
12/6/19,Electron,Rocket Lab Launch Complex 1,Astro Live Experiences,53
4/1/22,Falcon 9,Cape Canaveral,University of Brasilia,54
12/3/18,Falcon 9,Vandenberg AFB,Al-Farabi Kazakh National University,55
12/6/13,Atlas 5,Vandenberg AFB,US Air Force Institute of Technology,56
9/26/16,PSLV,Satish Dhawan Space Centre,Surrey Satellite Technology Ltd.,57
9/26/16,PSLV,Satish Dhawan Space Centre,Surrey Satellite Technology Ltd.,58
7/12/10,PSLV,Satish Dhawan Space Centre,EADS Astrium,59
9/26/16,PSLV,Satish Dhawan Space Centre,Airbus Defense and Space,60
