launch_site_name,country_name
Satish Dhawan Space Centre,India
Guiana Space Center,French Guiana
Cape Canaveral,USA
Yellow Sea Launch Platform,China
Plesetsk Cosmodrome,Russia
Jiuquan Satellite Launch Center,
Vandenberg AFB,USA
Taiyuan Launch Center,China
Xichang Satellite Launch Center,China
Rocket Lab Launch Complex 1,New Zealand
Kodiak Island,USA
Shahroud Missile Range,Iran
Rocket Lab Launch Complex 1B,New Zealand
Wenchang Satellite Launch Center,China
Wenchang Space Center,China
Virgin Orbit,USA
Baikonur Cosmodrome,Khazakhstan
Tanegashima Space Center,Japan
Uchinoura Space Center,Japan
Vostochny Cosmodrome,Russia
Wallops Island Flight Facility,USA
Satish Dhawan,India
Antares,USA
Cygnus,USA
FANTM-RAiL (Xtenti),USA
FANTM-RAiL [Xtenti],USA
Palmachim Launch Complex,Isreal
Stargazer L-1011,USA
International Space Station - Cygnus,USA
Orbital ATK L-1011,USA
Dombarovsky Air Base,Russia
Sea Launch Odyssey,USA
Naro Space Center,South Korea
Kwajalein Island,Marshall Islands
Kodiak Launch Complex,USA
Svobodny Cosmodrome,Russia
International Space Station,USA
International Space Station - Antares,USA
Dragon CRS-17,USA
,
