organization_name,satellite_id
Hera Systems,1
Aalto University,2
University of Aalborg,3
Asia Broadcast Satellite Ltd.,4
Loral,4
Space Systems,4
Asia Broadcast Satellite Ltd.,5
Boeing Satellite Systems,5
Asia Broadcast Satellite Ltd.,6
Boeing Satellite Systems,6
Asia Broadcast Satellite Ltd.,7
Loral,7
Space Systems,7
Asia Broadcast Satellite Ltd.,8
Lockheed Martin,8
Asher Space Research Institute at Technion,9
Israeli Aircraft Industries,9
Asher Space Research Institute at Technion,10
Israeli Aircraft Industries,10
Asher Space Research Institute at Technion,11
Israeli Aircraft Industries,11
National Reconnaissance Laboratory (?),12
National Reconnaissance Office (NRO),12
National Reconnaissance Office (NRO),13
TRW Space and Electronics,13
National Reconnaissance Office (NRO),14
TRW Space and Electronics,14
National Reconnaissance Laboratory (?),15
National Reconnaissance Office (NRO),15
National Reconnaissance Laboratory (?),16
National Reconnaissance Office (NRO),16
National Reconnaissance Laboratory (?),17
National Reconnaissance Office (NRO),17
National Reconnaissance Laboratory (?),18
National Reconnaissance Office (NRO),18
Lockheed Martin Space Systems,19
US Air Force,19
Lockheed Martin Space Systems,20
US Air Force,20
Lockheed Martin Space Systems,21
US Air Force,21
Lockheed Martin Space Systems,22
US Air Force,22
Lockheed Martin Space Systems,23
US Air Force ,23
Department of Homeland Security,24
University of Southern California,24
Airbus Defense and Space,25
European Space Agency (ESA),25
Aerospace Corporation,26
Aerospace Corporation,27
Aerospace Corporation,28
Aerospace Corporation,29
Aerospace Corporation,30
Aerospace Corporation,31
Aerospace Corporation,32
Aerospace Corporation,33
Aerospace Corporation,34
Aerospace Corporation,35
Aerospace Corporation,36
Aerospace Corporation,37
Aerospace Corporation,38
Aerospace Corporation,39
Aerospace Corporation,40
Aerospace Corporation,41
Aerospace Corporation,42
EADS Astrium,43
EUTELSAT S.A.,43
Aurora Insight,44
NanoAvionics,44
Aurora Insight,45
NanoAvionics,45
"Center for Atmospheric Sciences, Hampton University",46
NASA,46
Orbital Sciences Corp.,46
Kongsberg Seatex AS,47
Norwegian Coastal Admnistration,47
University of Toronto Institute for Aerospace Studies,47
Kongsberg Seatex AS,48
Norwegian Coastal Admnistration,48
University of Toronto Institute for Aerospace Studies,48
AISTech,49
GomSpace ApS,49
AISTech,50
GomSpace ApS,50
Al Yah Satellite Communications Co. (YAHSAT),51
Orbital ATK,51
Algerian Space Agency (ASAL),52
China Academy of Space Technology (CAST),52
Astro Live Experiences,53
University of Brasilia,54
Al-Farabi Kazakh National University,55
US Air Force Institute of Technology,56
Algerian Space Agency (ASAL),57
Surrey Satellite Technology Ltd.,57
Algerian Space Agency (ASAL),58
Surrey Satellite Technology Ltd.,58
UK Space Agency,58
Algerian Space Agency (ASAL),59
EADS Astrium,59
Airbus Defense and Space,60
Algerian Space Agency (ASAL),60
EADS Astrium,61
Hispamar (subsidiary of Hispasat - Spain),61
Hispamar (subsidiary of Hispasat - Spain),62
Loral,62
Space Systems,62
Hispamar (subsidiary of Hispasat - Spain),63
Orbital Sciences Corp.,63
Hispamar (subsidiary of Hispasat - Spain),64
Loral,64
Space Systems,64
National Institute for Space Research (INPE),65
Lockheed Martin Commercial Space Systems,66
SES S.A.,66
Lockheed Martin,67
SES S.A.,67
Lockheed Martin,68
SES S.A.,68
Lockheed Martin Missiles & Space,69
SES S.A.,69
Orbital Sciences Corp.,70
SES S.A.,70
Gogo,71
Lockheed Martin Commercial Space Systems,71
SES S.A.,71
Lockheed Martin Commercial Space Systems,72
SES S.A.,72
Lockheed Martin Commercial Space Systems,73
SES S.A.,73
Moscow State University,74
Boeing Satellite Systems,75
Space-Communication Ltd.,75
Israel Aircraft Industries (IAI),76
Space-Communication Ltd.,76
Israel Aircraft Industries (IAI),77
Space-Communication Ltd.,77
Amsat-NA,78
Agency for Defense Development,79
Airbus Defense and Space,79
ANDESITE - Boston University,80
Boston University,80
Centre National d'Etudes Spatiales (CNES),81
CNES ,81
Boeing Satellite Systems,82
"Telesat Canada Ltd. (BCE, Inc.)",82
EADS Astrium,83
"Telesat Canada Ltd. (BCE, Inc.)",83
Boeing Satellite Systems,84
"Telesat Canada Ltd. (BCE, Inc.)",84
EADS Astrium,85
"Telesat Canada Ltd. (BCE, Inc.)",85
Loral,86
Space Systems,86
"Telesat Canada Ltd. (BCE, Inc.)",86
Aprize Satellite ,87
"Aprize Satellite, Argentina",87
"Aprize Satellite, Argentina",88
SpaceQuest,88
Aprize Satellite ,89
"Aprize Satellite, Argentina",89
"Aprize Satellite, Argentina",90
SpaceQuest,90
"Aprize Satellite, Argentina",91
SpaceQuest,91
"Aprize Satellite, Argentina",92
SpaceQuest,92
"Aprize Satellite, Argentina",93
SpaceQuest,93
"Aprize Satellite, Argentina",94
SpaceQuest,94
exactEarth,95
SpaceQuest,95
APT Satellite Holdings Ltd.,96
China Academy of Space Technology (CAST),96
APT Satellite Holdings Ltd.,97
China Academy of Space Technology (CAST),97
APT Satellite Holdings Ltd.,98
Thales Alenia Space,98
APT Satellite Holdings Ltd.,99
China Academy of Space Technology (CAST),99
Arab Satellite Communications Org. (ASCO),100
Astrium,100
Thales Alenia Space,100
Arab Satellite Communications Org. (ASCO),101
Lockheed Martin,101
"South Florida University, Institute of Applied Engineering (IAE)",102
"University of South Florida, Institute of Applied Engineering (IAE).",102
"South Florida University, Institute of Applied Engineering (IAE)",103
"University of South Florida, Institute of Applied Engineering (IAE).",103
"South Florida University, Institute of Applied Engineering (IAE)",104
"University of South Florida, Institute of Applied Engineering (IAE).",104
Norwegian Defence Research Establishment,105
Aoyama Gakuin University in Tokyo,106
Naval Physical and Oceanographic Laboratory,107
NPO Lavochkin,107
Planetary Resources,108
Baylor University,109
Satellite Design Laboratory UT Austin,109
UT Austin,109
ArSat,110
INVAP S.E.,110
ArSat,111
INVAP S.E.,111
Aerospacelab,112
Astrospacelab,112
Istanbul Technical  University,113
Istanbul Technical University,113
Asia Satellite Telecommunications Co. Ltd.,114
Loral,114
Space Systems,114
Asia Satellite Telecommunications Co. Ltd.,115
Loral,115
Space Systems,115
