user_id,purpose_id,satellite_id
2,3,1
1,18,2
1,3,3
2,2,4
2,2,5
2,2,6
2,2,7
2,2,8
3,18,9
3,18,10
3,18,11
4,3,12
4,3,13
4,3,14
4,3,15
4,3,16
4,3,17
4,3,18
4,2,19
4,2,20
4,2,21
4,2,22
4,2,23
3,18,24
3,3,25
2,18,26
2,18,27
2,18,28
2,18,29
2,18,30
2,18,31
4,18,32
4,18,33
4,18,34
2,18,35
2,18,36
2,18,37
2,18,38
2,18,39
2,18,40
2,18,41
2,18,42
2,2,43
2,2,44
2,2,45
3,3,46
3,2,47
3,2,48
2,3,49
2,3,50
2,2,51
3,2,52
2,4,53
1,18,54
1,18,55
4,18,56
3,3,57
3,18,58
3,3,59
3,3,60
2,2,61
2,2,62
2,2,63
2,2,64
3,3,65
2,2,66
2,2,67
2,2,68
2,2,69
2,2,70
2,2,71
2,2,72
2,2,73
1,15,74
2,2,75
4,2,75
2,2,76
4,2,76
2,2,77
4,2,77
1,2,78
4,2,79
1,15,80
1,17,80
3,2,81
2,2,82
2,2,83
2,2,84
2,2,85
2,2,86
2,2,87
2,18,87
2,2,88
2,7,88
2,2,89
2,18,89
2,2,90
2,7,90
2,2,91
2,7,91
2,2,92
2,2,93
2,2,94
2,7,94
2,2,95
2,7,95
2,2,96
2,2,97
2,2,98
2,2,99
3,2,100
2,2,101
1,18,102
1,18,103
1,18,104
4,17,105
1,18,106
3,3,107
2,18,108
1,18,109
2,2,110
2,2,111
2,3,112
1,3,113
2,2,114
2,2,115
2,2,116
2,2,117
2,2,118
2,2,119
3,3,120
3,3,121
1,18,122
2,2,123
2,2,124
2,2,125
2,2,126
2,2,127
2,2,128
2,2,129
2,2,130
2,2,131
2,2,132
2,2,133
2,2,134
2,2,135
2,2,136
2,18,137
2,2,138
2,2,139
2,2,140
2,2,141
2,2,142
2,2,143
2,2,144
2,2,145
2,2,146
2,2,147
3,15,148
2,2,149
2,2,150
3,2,151
4,2,151
2,18,152
3,2,153
3,2,154
3,2,155
3,2,156
3,2,157
3,2,158
3,2,159
3,2,160
1,19,161
4,3,162
4,3,163
2,3,164
3,17,165
1,17,166
1,17,167
1,17,168
1,17,169
1,18,170
3,6,171
4,6,171
3,9,171
4,9,171
3,6,172
4,6,172
3,9,172
4,9,172
3,6,173
4,6,173
3,9,173
4,9,173
3,6,174
4,6,174
3,9,174
4,9,174
3,6,175
4,6,175
3,9,175
4,9,175
3,6,176
4,6,176
3,9,176
4,9,176
3,6,177
4,6,177
3,9,177
4,9,177
3,6,178
4,6,178
3,9,178
4,9,178
3,6,179
4,6,179
3,9,179
4,9,179
3,6,180
4,6,180
3,9,180
4,9,180
3,6,181
4,6,181
3,9,181
4,9,181
3,6,182
4,6,182
3,9,182
4,9,182
3,6,183
4,6,183
3,9,183
4,9,183
3,6,184
4,6,184
3,9,184
4,9,184
3,6,185
4,6,185
3,9,185
4,9,185
3,6,186
4,6,186
3,9,186
4,9,186
3,6,187
4,6,187
3,9,187
4,9,187
3,6,188
4,6,188
3,9,188
4,9,188
3,6,189
4,6,189
3,9,189
4,9,189
3,6,190
4,6,190
3,9,190
4,9,190
3,6,191
4,6,191
3,9,191
4,9,191
3,6,192
4,6,192
3,9,192
4,9,192
3,6,193
4,6,193
3,9,193
4,9,193
3,6,194
4,6,194
3,9,194
4,9,194
3,6,195
4,6,195
3,9,195
4,9,195
3,6,196
4,6,196
3,9,196
4,9,196
3,6,197
4,6,197
3,9,197
4,9,197
3,6,198
4,6,198
3,9,198
4,9,198
3,6,199
4,6,199
3,9,199
4,9,199
3,6,200
4,6,200
3,9,200
4,9,200
3,6,201
4,6,201
3,9,201
4,9,201
3,6,202
4,6,202
3,9,202
4,9,202
3,6,203
4,6,203
3,9,203
4,9,203
3,6,204
4,6,204
3,9,204
4,9,204
3,6,205
4,6,205
3,9,205
4,9,205
3,6,206
4,6,206
3,9,206
4,9,206
3,6,207
4,6,207
3,9,207
4,9,207
3,6,208
4,6,208
3,9,208
4,9,208
3,6,209
4,6,209
3,9,209
4,9,209
3,6,210
4,6,210
3,9,210
4,9,210
3,6,211
4,6,211
3,9,211
4,9,211
3,6,212
4,6,212
3,9,212
4,9,212
3,6,213
4,6,213
3,9,213
4,9,213
3,6,214
4,6,214
3,9,214
4,9,214
3,6,215
4,6,215
3,9,215
4,9,215
3,6,216
4,6,216
3,9,216
4,9,216
3,6,217
4,6,217
3,9,217
4,9,217
3,6,218
4,6,218
3,9,218
4,9,218
3,6,219
4,6,219
3,9,219
4,9,219
2,3,220
2,3,221
3,2,222
1,3,223
3,3,223
1,18,223
3,18,223
3,3,224
1,3,225
1,18,225
3,3,226
2,3,227
2,3,228
2,3,229
2,3,230
2,3,231
2,3,232
2,3,233
2,3,234
2,3,235
2,3,236
2,3,237
2,3,238
2,3,239
2,3,240
2,2,241
4,2,241
2,2,242
4,2,242
2,2,243
4,2,243
2,2,244
4,2,244
2,18,245
2,2,246
5,13,247
2,18,248
2,2,249
1,15,250
3,15,251
2,3,252
2,3,253
2,3,254
2,2,255
2,2,256
2,2,257
2,2,258
2,2,259
1,18,260
4,18,260
3,3,261
3,3,262
2,18,263
2,2,264
1,18,265
3,18,265
3,4,266
1,18,267
3,18,267
1,18,268
3,18,268
1,18,269
3,18,269
1,18,270
3,18,270
1,18,271
2,3,272
2,3,273
2,3,274
2,3,275
2,3,276
2,3,277
2,3,278
2,3,279
3,3,280
3,3,281
4,3,282
3,3,283
3,3,284
3,3,285
3,3,286
3,3,287
3,3,288
3,3,289
3,4,290
4,2,291
3,3,292
3,3,293
2,18,294
2,18,295
4,18,296
2,2,297
2,18,298
2,18,299
3,15,300
4,3,301
4,3,302
4,3,303
2,18,304
2,17,305
4,18,306
4,18,307
3,18,308
3,3,309
2,18,310
3,15,311
2,18,312
3,3,313
2,3,314
3,15,315
4,18,316
3,15,317
1,18,318
3,18,318
3,2,319
3,3,320
3,3,321
3,3,322
3,18,323
2,3,324
2,3,325
2,3,326
2,3,327
2,3,328
2,3,329
2,2,330
1,15,331
1,18,332
2,18,332
4,2,333
1,3,334
3,3,334
3,2,335
4,2,336
4,2,337
1,18,338
3,18,338
3,2,339
3,3,339
4,2,340
4,2,341
4,3,342
4,3,343
2,3,344
2,3,345
2,3,346
2,3,347
2,3,348
3,3,349
3,3,350
3,3,351
3,3,352
3,3,353
3,3,354
1,3,355
3,3,355
1,3,356
3,3,356
1,3,357
3,3,357
1,3,358
3,3,358
1,3,359
3,3,359
4,18,360
4,18,361
4,18,362
4,3,363
4,14,363
4,3,364
4,14,364
4,18,365
4,18,366
1,3,367
4,3,367
3,3,368
4,3,368
3,3,369
4,3,369
3,3,370
4,3,370
3,3,371
4,3,371
1,3,372
3,3,372
3,3,373
3,3,374
4,3,374
1,15,375
4,3,376
4,3,377
1,18,378
1,18,379
1,18,380
3,4,381
3,15,382
3,3,383
3,3,384
3,3,385
3,3,386
3,3,387
3,3,388
3,3,389
3,3,390
3,3,391
3,3,392
3,15,393
1,5,394
2,3,395
1,18,396
3,3,397
3,3,398
1,15,399
1,18,400
1,18,401
1,18,402
4,18,403
2,18,404
2,18,405
2,18,406
2,18,407
2,15,408
2,2,409
2,2,410
2,2,411
2,2,412
2,2,413
2,2,414
2,2,415
2,2,416
1,3,417
3,4,418
2,3,419
2,3,420
2,3,421
3,3,422
4,3,423
4,3,424
4,3,425
4,3,426
4,3,427
1,18,428
2,18,428
2,18,429
2,3,430
2,3,431
2,3,432
2,3,433
2,3,434
2,3,435
2,3,436
2,3,437
2,3,438
2,3,439
2,3,440
2,3,441
2,3,442
2,3,443
2,3,444
2,3,445
2,3,446
2,3,447
2,3,448
2,3,449
2,3,450
2,3,451
2,3,452
2,3,453
2,3,454
2,3,455
2,3,456
2,3,457
2,3,458
2,3,459
2,3,460
2,3,461
2,3,462
2,3,463
2,3,464
2,3,465
2,3,466
2,3,467
2,3,468
2,3,469
2,3,470
2,3,471
2,3,472
2,3,473
2,3,474
2,3,475
2,3,476
2,3,477
2,3,478
2,3,479
2,3,480
2,3,481
2,3,482
2,3,483
2,3,484
2,3,485
2,3,486
2,3,487
2,3,488
2,3,489
2,3,490
2,3,491
2,3,492
2,3,493
2,3,494
2,3,495
2,3,496
2,3,497
2,3,498
2,3,499
2,3,500
2,3,501
2,3,502
2,3,503
2,3,504
2,3,505
2,3,506
2,3,507
2,3,508
2,3,509
2,3,510
2,3,511
2,3,512
2,3,513
2,3,514
2,3,515
2,3,516
2,3,517
2,3,518
2,3,519
2,3,520
2,3,521
2,3,522
2,3,523
2,3,524
2,3,525
2,3,526
2,3,527
2,3,528
2,3,529
2,3,530
2,3,531
2,3,532
2,3,533
2,3,534
2,3,535
2,3,536
2,3,537
2,3,538
2,3,539
2,3,540
2,3,541
2,3,542
2,3,543
2,3,544
2,3,545
2,3,546
2,3,547
2,3,548
2,3,549
2,3,550
2,3,551
2,3,552
2,3,553
2,3,554
2,3,555
2,3,556
2,3,557
2,3,558
2,3,559
2,3,560
2,3,561
2,3,562
2,3,563
2,3,564
2,3,565
2,3,566
2,3,567
2,3,568
2,3,569
2,3,570
2,3,571
2,3,572
2,3,573
2,3,574
2,3,575
2,3,576
2,3,577
2,3,578
2,3,579
2,3,580
2,3,581
2,3,582
2,3,583
2,3,584
2,3,585
2,3,586
2,3,587
2,3,588
2,3,589
2,3,590
2,3,591
2,3,592
2,3,593
2,3,594
2,3,595
2,3,596
2,3,597
2,3,598
2,3,599
2,3,600
2,3,601
2,3,602
2,3,603
2,3,604
2,3,605
2,3,606
2,3,607
2,3,608
2,3,609
2,3,610
2,3,611
2,3,612
2,3,613
2,3,614
2,3,615
2,3,616
2,3,617
2,3,618
2,3,619
2,3,620
2,3,621
2,3,622
2,3,623
3,4,624
2,17,625
4,2,626
4,2,627
4,2,628
4,2,629
4,2,630
4,2,631
4,3,632
4,3,633
4,3,634
2,18,635
4,18,636
3,3,637
4,18,638
2,2,639
2,3,640
2,2,641
2,2,642
2,2,643
2,2,644
2,2,645
2,2,646
2,2,647
2,2,648
2,2,649
2,2,650
2,2,651
2,2,652
2,2,653
1,18,654
2,2,655
3,3,656
4,3,657
4,3,658
4,3,659
4,3,660
4,3,661
2,18,662
3,3,663
3,3,664
3,3,665
1,15,666
2,15,666
1,15,667
2,15,667
4,3,668
4,3,669
4,3,670
4,3,671
2,18,672
4,3,673
4,3,674
3,3,675
4,3,676
3,3,677
3,3,678
3,3,679
3,3,680
4,18,681
3,15,682
2,3,683
4,3,683
3,3,684
1,3,685
1,4,685
2,2,686
2,2,687
4,2,687
4,18,688
3,3,689
3,3,690
3,18,691
2,2,692
2,2,693
2,2,694
2,2,695
2,2,696
2,2,697
2,2,698
2,2,699
2,2,700
2,2,701
2,2,702
2,2,703
2,2,704
2,2,705
2,2,706
2,2,707
2,2,708
2,2,709
2,2,710
2,2,711
2,2,712
2,2,713
2,2,714
2,2,715
2,2,716
2,2,717
2,2,718
2,2,719
2,2,720
2,2,721
2,2,722
2,2,723
4,18,724
1,15,725
3,15,725
2,2,726
2,2,727
2,2,728
2,2,729
2,2,730
2,2,731
2,2,732
2,2,733
2,2,734
2,2,735
2,2,736
2,2,737
2,2,738
2,2,739
2,2,740
3,15,741
4,3,742
4,3,743
1,18,744
4,18,744
1,18,745
4,18,745
1,18,746
4,18,746
1,18,747
4,18,747
2,10,748
1,18,749
4,18,749
2,18,750
3,18,751
3,3,752
3,3,753
3,3,754
3,3,755
3,3,756
3,3,757
3,3,758
3,3,759
3,3,760
3,15,761
4,3,762
4,3,763
4,3,764
4,3,765
4,3,766
1,15,767
3,15,767
1,15,768
3,15,768
1,3,769
1,15,769
4,2,770
3,3,771
3,3,772
3,18,773
2,2,774
2,2,775
2,2,776
2,2,777
2,2,778
2,2,779
1,2,780
3,3,781
3,3,782
1,2,783
2,2,784
2,2,785
2,2,786
2,2,787
2,2,788
2,2,789
2,2,790
2,2,791
2,2,792
2,2,793
2,2,794
2,2,795
2,2,796
2,6,797
2,9,797
2,6,798
2,9,798
2,6,799
2,9,799
2,6,800
2,9,800
2,6,801
2,9,801
2,6,802
2,9,802
2,6,803
2,9,803
2,6,804
2,9,804
2,6,805
2,9,805
2,6,806
2,9,806
2,6,807
2,9,807
2,6,808
2,9,808
2,6,809
2,9,809
2,6,810
2,9,810
2,6,811
2,9,811
2,6,812
2,9,812
2,6,813
2,9,813
2,6,814
2,9,814
2,6,815
2,9,815
2,6,816
2,9,816
2,6,817
2,9,817
2,6,818
2,9,818
2,6,819
2,9,819
2,6,820
2,9,820
2,6,821
2,9,821
2,6,822
2,9,822
2,6,823
2,9,823
2,6,824
2,9,824
3,3,825
3,3,826
3,3,827
3,3,828
3,3,829
3,3,830
3,3,831
3,3,832
3,3,833
3,3,834
3,3,835
3,3,836
3,3,837
3,3,838
3,3,839
3,3,840
3,3,841
3,3,842
3,3,843
3,3,844
3,3,845
4,3,846
3,3,847
3,3,848
3,3,849
3,3,850
3,3,851
3,3,852
4,2,853
2,18,854
3,3,855
2,2,856
4,2,856
3,18,857
3,15,858
3,15,859
2,18,860
2,18,861
4,4,862
4,4,863
2,3,864
3,3,864
3,3,865
3,3,866
3,15,867
3,3,868
2,4,869
2,4,870
2,4,871
3,3,872
2,2,873
2,2,874
2,2,875
2,2,876
2,2,877
2,2,878
2,2,879
2,2,880
2,2,881
2,2,882
2,2,883
2,2,884
2,2,885
2,2,886
2,2,887
2,2,888
2,2,889
2,2,890
2,2,891
2,2,892
2,2,893
2,2,894
2,2,895
2,2,896
2,2,897
2,2,898
2,2,899
2,2,900
2,2,901
2,2,902
2,2,903
2,2,904
2,6,905
4,6,905
2,9,905
4,9,905
2,6,906
4,6,906
2,9,906
4,9,906
2,6,907
4,6,907
2,9,907
4,9,907
2,6,908
4,6,908
2,9,908
4,9,908
2,6,909
4,6,909
2,9,909
4,9,909
2,6,910
4,6,910
2,9,910
4,9,910
2,6,911
4,6,911
2,9,911
4,9,911
2,6,912
4,6,912
2,9,912
4,9,912
2,6,913
4,6,913
2,9,913
4,9,913
2,6,914
4,6,914
2,9,914
4,9,914
